id,name,latitude,longitude,distance_km,duration_min,type,address
109,"Sole Restaurant, Lee Point Road, Lee Point, City of Darwin, Northern Territory, 0811, Australia",-12.3409816,130.8931366,18.45,21.21,restaurant,Lee Point Road
110,"Fannie Bay Super Pizza Italian Restaurant, Ross Smith Avenue, Fannie Bay, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4240555,130.8365323,5.75,8.39,restaurant,Ross Smith Avenue
111,"Asian Gateway Restaurant, 58, Aralia Street, Nightcliff, Darwin, City of Darwin, Northern Territory, 0810, Australia",-12.3795265,130.8489492,11.83,15.5,restaurant,Aralia Street
112,"Char Restaurant, Esplanade, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4649173,130.8400948,0.98,2.01,restaurant,Esplanade
113,"Crab Claw Island Restaurant, Crab Claw Island Boat Ramp, Bynoe, Crab Claw Island, Northern Territory, Australia",-12.7060747,130.6223951,112.75,134.65,restaurant,Crab Claw Island Boat Ramp
114,"Yogis Way, Coronation Drive, Stuart Park, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.445271,130.8425692,3.02,4.88,restaurant,Coronation Drive
115,"Yots Greek Taverna, Marina Boulevard, Larrakeyah, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4509394,130.8223537,3.35,6.52,restaurant,Marina Boulevard
116,"Il Lido, Anchorage Court, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.4687852,130.8471832,1.09,3.05,restaurant,Anchorage Court
117,"Wharf Precinct Food Court, Stokes Hill Wharf, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.4707358,130.848332,1.82,5.24,restaurant,Stokes Hill Wharf
118,"Hot Tamale, Anchorage Court, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.46862,130.8467776,1.04,2.93,restaurant,Anchorage Court
119,"CHOW!, Kitchener Drive, Darwin City, Darwin Waterfront Precinct Municipality, Northern Territory, 0801, Australia",-12.4673061,130.8457022,1.0,2.48,restaurant,Kitchener Drive
120,"Flavour E Azam, Smith Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4629791,130.8413479,0.85,1.89,restaurant,Smith Street
121,"Howard Springs Tavern, Whitewood Road, Howard Springs, Litchfield Municipality, Northern Territory, 0839, Australia",-12.4967032,131.043459,29.42,31.45,restaurant,Whitewood Road
122,"KFC Palmerston, Temple Terrace, Palmerston City, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.4807328,130.9874155,22.45,21.9,restaurant,Temple Terrace
123,"Nando's, Trower Road, Casuarina, Darwin, City of Darwin, Northern Territory, 0810, Australia",-12.3756524,130.8819609,13.46,15.82,restaurant,Trower Road
124,"Casuarina Club, 247, Trower Road, Casuarina, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3726455,130.8828668,13.87,16.64,restaurant,Trower Road
125,"Indian Curry Paradise, 56, Bradshaw Terrace, Casuarina, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3716305,130.8824083,14.02,17.13,restaurant,Bradshaw Terrace
126,"Di Lusso, Lee Point Road, Lee Point, City of Darwin, Northern Territory, 0811, Australia",-12.3407987,130.8931697,18.44,21.17,restaurant,Lee Point Road
127,"Medee Eatery, Hinkler Crescent, Fannie Bay, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4234262,130.8366545,5.82,8.64,restaurant,Hinkler Crescent
128,"The Track, Dick Ward Drive, Bagot, Fannie Bay, Darwin, City of Darwin, Northern Territory, 0810, Australia",-12.423007,130.8434738,6.19,9.57,restaurant,Dick Ward Drive
129,"Happy Garden, Vimy Lane, Parap, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4317256,130.8440271,4.48,6.54,restaurant,Vimy Lane
130,"Oka, Vimy Lane, Parap, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4317597,130.8437052,4.63,6.9,restaurant,Vimy Lane
131,"Pee Wee's at the Point, East Point Road, East Point, Darwin, City of Darwin, Northern Territory, 0820, Australia",-12.4125223,130.8235408,7.51,11.61,restaurant,East Point Road
132,"Jilvie's Bistro, Kalymnos Drive, Karama, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4013842,130.9156072,14.55,16.73,restaurant,Kalymnos Drive
133,"Yanyula Drive, Anula, Darwin, City of Darwin, Northern Territory, 0811, Australia",-12.3919899,130.8907792,13.13,15.76,restaurant,Yanyula Drive
134,"Eat at Martin's, 6, Caryota Court, Coconut Grove, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3998953,130.8517538,9.29,12.25,restaurant,Caryota Court
135,"Lucky Bat cafe and pizzeria, 8, Pavonia Place, Nightcliff, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.386966,130.8506046,10.9,13.35,restaurant,Pavonia Place
136,"Spice Garden Eating House & Grill, Pavonia Place, Nightcliff, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3869292,130.8513276,10.82,13.16,restaurant,Pavonia Place
137,"Canteen, Tilston Avenue, Driver, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.4954257,130.9727635,23.09,22.78,restaurant,Tilston Avenue
